# cmip6: multi-model-median regional means at warming levels - TXx
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TXx
# variable: tasmax
# units: °C
,region,abbrevs,names,model,ens,exp,postprocess,table,grid,varn,1.5,2.0,3.0,4.0
160,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr,tasmax,1.25,1.7,2.57,
161,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr,tasmax,1.27,1.75,2.6,3.52
162,-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr,tasmax,1.26,1.7,2.61,3.5
163,-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.17,1.54,,
164,-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gn,tasmax,1.16,1.53,2.36,
165,-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.17,1.55,2.34,
166,-3,ocean,Ocean,GFDL-CM4,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr1,tasmax,1.25,1.64,,
167,-3,ocean,Ocean,GFDL-CM4,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr1,tasmax,1.23,1.64,2.5,3.35
168,-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr1,tasmax,1.27,1.69,,
169,-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr1,tasmax,1.28,1.69,2.54,
170,-3,ocean,Ocean,GFDL-ESM4,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr1,tasmax,1.28,1.69,2.51,
171,-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.24,1.67,,
172,-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp245,txx_reg_ave_ar6,day,gn,tasmax,1.23,1.68,2.5,
173,-3,ocean,Ocean,HadGEM3-GC31-LL,r1i1p1f3,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.25,1.67,2.52,3.37
174,-3,ocean,Ocean,HadGEM3-GC31-MM,r1i1p1f3,ssp126,txx_reg_ave_ar6,day,gn,tasmax,1.19,1.62,,
175,-3,ocean,Ocean,HadGEM3-GC31-MM,r1i1p1f3,ssp585,txx_reg_ave_ar6,day,gn,tasmax,1.22,1.63,2.47,3.37
176,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr1,tasmax,1.2,,,
177,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr1,tasmax,1.19,1.59,,
178,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp370,txx_reg_ave_ar6,day,gr1,tasmax,1.24,1.62,2.4,
179,-3,ocean,Ocean,INM-CM4-8,r1i1p1f1,ssp585,txx_reg_ave_ar6,day,gr1,tasmax,1.23,1.61,2.4,
180,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp126,txx_reg_ave_ar6,day,gr1,tasmax,1.15,,,
181,-3,ocean,Ocean,INM-CM5-0,r1i1p1f1,ssp245,txx_reg_ave_ar6,day,gr1,tasmax,1.2,1.57,,
